"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
4.5,-168,2,2.28970182182835
4.5,-168,4,2.34250066380036
4.5,-168,6,2.38740638922767
4.5,-168,8,2.42401930984398
4.5,-168,10,2.45204800953987
4.5,-168,12,2.47131362187633
4.5,-168,14,2.48175137767507
4.5,-168,16,2.48340943638017
4.5,-168,18,2.47644511072688
4.5,-168,20,2.46111868229736
4.5,-168,22,2.43778508186278
4.5,-168,24,2.40688376990364
4.5,-168,26,2.36892719723029
4.5,-168,28,2.32448825210049
4.5,-168,30,2.27418710860233
4.5,-168,32,2.21867788225497
4.5,-168,34,2.15863547453496
4.5,-168,36,2.09474295077708
4.5,-168,38,2.02767974850179
4.5,-168,40,1.95811095880361
4.5,-168,42,1.88667786515083
4.5,-168,44,1.81398986480248
4.5,-168,46,1.74061784074486
4.5,-168,48,1.66708899886854
4.5,-168,50,1.59388313783503
4.5,-168,52,1.52143027898101
4.5,-168,54,1.45010955141384
4.5,-168,56,1.38024920341526
4.5,-168,58,1.31212759521327
4.5,-168,60,1.24597501957734
4.5,-168,62,1.18197619474329
4.5,-168,64,1.12027327790725
4.5,-168,66,1.06096925586759
4.5,-168,68,1.00413158123952
4.5,-168,70,0.949795936952139
4.5,-168,72,0.897970027477351
4.5,-168,74,0.848637311564435
4.5,-168,76,0.801760607428196
4.5,-168,78,0.757285516773195
4.5,-168,80,0.715143628284821
4.5,-168,82,0.675255473969596
4.5,-168,84,0.637533222793454
4.5,-168,86,0.601883105364798
4.5,-168,88,0.56820757094306
4.5,-168,90,0.536407183896382
4.5,-168,92,0.506382271008716
4.5,-168,94,0.478034333908399
4.5,-168,96,0.451267242541228
4.5,-168,98,0.425988226238062
4.5,-168,100,0.40210867873031
4.5,-168,102,0.379544792644203
4.5,-168,104,0.358218037747097
4.5,-168,106,0.338055495705908
4.5,-168,108,0.318990062516043
4.5,-168,110,0.300960528220013
4.5,-168,112,0.283911542192805
4.5,-168,114,0.267793471240674
4.5,-168,116,0.252562157134503
4.5,-168,118,0.238178580046255
4.5,-168,120,0.224608434717636
4.5,-168,122,0.21182162707244
4.5,-168,124,0.199791700362588
4.5,-168,126,0.188495201749977
4.5,-168,128,0.177911002371779
4.5,-168,130,0.168019586278506
4.5,-168,132,0.158802326001463
4.5,-168,134,0.150240764700909
4.5,-168,136,0.142315926652178
4.5,-168,138,0.135007679022231
4.5,-168,140,0.128294168260597
4.5,-168,142,0.122151353790017
4.5,-168,144,0.116552659890708
4.5,-168,146,0.111468763647152
4.5,-168,148,0.106867532563526
4.5,-168,150,0.102714120037325
4.5,-168,152,0.0989712204882561
4.5,-168,154,0.095599478841567
4.5,-168,156,0.0925580416155192
4.5,-168,158,0.0898052294814565
4.5,-168,160,0.0872993043123579
4.5,-168,162,0.0849992978814409
4.5,-168,164,0.0828658649591112
4.5,-168,166,0.0808621209632619
4.5,-168,168,0.0789544238244795
4.5,-168,170,0.0771130614852617
4.5,-168,172,0.0753128104623573
4.5,-168,174,0.0735333370060538
